Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Live Seat Availability,Live Fare (₹)
ROUTE_27,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_27,2,22634,NZM TVC SF E,MTJ,KOTA,02:02:00,06:15:00,320.0,4h 13m,2h 27m,UNKNOWN,0.0
ROUTE_28,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_28,2,12472,SWARAJ EXPRE,MTJ,KOTA,00:10:00,03:45:00,320.0,3h 35m,0h 35m,UNKNOWN,0.0
ROUTE_29,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_29,2,12474,SARVODAYA EX,MTJ,KOTA,00:10:00,03:45:00,320.0,3h 35m,0h 35m,UNKNOWN,0.0
ROUTE_30,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_30,2,12476,SARVODAYA EX,MTJ,KOTA,00:10:00,03:45:00,320.0,3h 35m,0h 35m,UNKNOWN,0.0
ROUTE_31,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_31,2,12478,SVDK- JAMNAG,MTJ,KOTA,00:10:00,03:45:00,320.0,3h 35m,0h 35m,UNKNOWN,0.0
ROUTE_32,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_32,2,12964,MEWAR EXPRES,MTJ,KOTA,04:30:00,23:30:00,320.0,19h 0m,4h 55m,UNKNOWN,0.0
ROUTE_33,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_33,2,19062,RMR BDTS EXP,MTJ,KOTA,01:30:00,07:10:00,349.0,5h 40m,1h 55m,UNKNOWN,0.0
ROUTE_34,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_34,2,59356,MTJ RATLAM P,MTJ,KOTA,05:00:00,12:40:00,320.0,7h 40m,5h 25m,UNKNOWN,0.0
ROUTE_35,1,11058,ASR CSMT EXP,NDLS,AGC,20:45:00,00:35:00,191.0,3h 50m,0h 0m,UNKNOWN,0.0
ROUTE_35,2,13237,PNBE- KOTA,AGC,KOTA,06:05:00,12:55:00,373.0,6h 50m,5h 30m,UNKNOWN,0.0
ROUTE_36,1,11058,ASR CSMT EXP,NDLS,AGC,20:45:00,00:35:00,191.0,3h 50m,0h 0m,UNKNOWN,0.0
ROUTE_36,2,13239,PNBE-KOTA EX,AGC,KOTA,06:05:00,12:55:00,373.0,6h 50m,5h 30m,UNKNOWN,0.0
ROUTE_37,1,11058,ASR CSMT EXP,NDLS,AGC,20:45:00,00:35:00,191.0,3h 50m,0h 0m,UNKNOWN,0.0
ROUTE_37,2,19042,GCT BANDRA(T,AGC,KOTA,08:30:00,15:00:00,329.0,6h 30m,7h 55m,UNKNOWN,0.0
ROUTE_38,1,11058,ASR CSMT EXP,NDLS,BINA,20:45:00,08:55:00,547.0,12h 10m,0h 0m,UNKNOWN,0.0
ROUTE_38,2,51612,BINA-KOTA PA,BINA,KOTA,10:00:00,18:50:00,303.0,8h 50m,1h 5m,UNKNOWN,0.0
ROUTE_39,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,UNKNOWN,0.0
ROUTE_39,2,12967,JAIPUR EXP,ET,KOTA,16:00:00,01:45:00,551.0,9h 45m,2h 45m,UNKNOWN,0.0
ROUTE_40,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,UNKNOWN,0.0
ROUTE_40,2,12969,CBE JAIPUR E,ET,KOTA,16:00:00,01:45:00,551.0,9h 45m,2h 45m,UNKNOWN,0.0
ROUTE_41,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,UNKNOWN,0.0
